Type q M1_total M1_core R1 a_i/R1 a_f Ref
AGB 0.08 5.0 1.0 200 1.4 4.4 (1)
AGB 0.12 5.0 1.0 200 1.4 4.8 (1)
AGB 0.12 5.0 0.94 354 1.5 8.9 (1)
AGB 0.13 3.0 0.7 200 1.4 4.4 (1)
AGB 0.13 3.0 0.7 200 1.4 4.7 (1)
RGB 0.18 4.0 0.7 66 1.6 1.0 (2)
RGB 0.35 1.0 0.45 243 1.3 21.0 (3)
RGB 0.1 1.0 0.45 221 1.3 33.0 (3)
RGB 0.18 2.0 0.45 177 1.3 19.0 (3)
RGB 0.11 0.88 0.39 83 1.0 3.1 (4)
RGB 0.17 0.88 0.39 83 1.0 3.4 (4)
RGB 0.34 0.88 0.39 83 1.0 7.3 (4)
RGB 0.68 0.88 0.39 83 1.0 12.0 (4)
RGB 1.02 0.88 0.39 83 1.0 17.0 (4)
RGB 0.05 1.97 0.39 66 1.0 2.2 (4)
RGB 0.08 1.97 0.39 66 1.0 1.8 (4)
RGB 0.15 1.97 0.39 66 1.0 1.6 (4)
RGB 0.3 1.97 0.39 66 1.0 1.8 (4)
RGB 0.46 1.97 0.39 66 1.0 2.8 (4)
RGB 0.3 1.97 0.39 66 1.0 0.67 (4)
RGB 0.3 1.97 0.39 66 1.0 0.87 (4)
RGB 0.11 0.88 0.39 83 1.0 6.1 (5)
RGB 0.17 0.88 0.39 83 1.0 7.3 (5)
RGB 0.34 0.88 0.39 83 1.0 11.0 (5)
RGB 0.68 0.88 0.39 83 1.0 21.0 (5)
RGB 1.02 0.88 0.39 83 1.0 27.0 (5)
RGB 0.68 0.88 0.39 100 3.0 20.0 (6)
RGB 0.68 0.88 0.39 87 2.5 30.0 (7)
RGB 0.68 0.88 0.39 91 2.4 28.0 (7)
RGB 0.68 0.88 0.39 93 2.3 28.0 (7)
RGB 0.5 1.98 0.38 49 1.0 4.9 (8)
RGB 0.5 1.98 0.38 52 1.0 3.2 (9)
RGB 0.5 1.98 0.38 52 1.0 3.6 (9)
RGB 0.5 1.96 0.37 48 1.0 8.0 (10)
RGB 0.57 1.05 0.36 31 2.0 9.0 (11)
RGB 0.27 1.18 0.36 60 2.0 3.2 (12)
RGB 0.31 1.18 0.36 60 2.1 3.7 (12)
RGB 0.34 1.18 0.36 60 2.1 3.5 (12)
RGB 0.23 1.38 0.36 57 2.0 2.5 (12)
RGB 0.26 1.38 0.36 57 2.0 2.8 (12)
RGB 0.29 1.38 0.36 57 2.0 3.0 (12)
RGB 0.2 1.59 0.36 50 1.9 1.7 (12)
RGB 0.23 1.59 0.36 50 2.0 1.8 (12)
RGB 0.25 1.59 0.36 50 2.0 2.1 (12)
RGB 0.18 1.8 0.36 41 1.9 1.2 (12)
RGB 0.2 1.8 0.36 41 1.9 1.3 (12)
RGB 0.22 1.8 0.36 41 2.0 1.4 (12)
RGB 0.1 2.0 0.33 44 1.3 2.1 (3)
RGB 0.24 1.5 0.32 26 2.0 0.91 (13)
RGB 0.27 1.2 0.32 29 2.0 1.4 (12)
RGB 0.3 1.2 0.32 29 2.1 1.5 (12)
RGB 0.33 1.2 0.32 29 2.1 1.4 (12)
RGB 0.23 1.4 0.32 28 2.0 1.1 (12)
RGB 0.26 1.4 0.32 28 2.0 1.1 (12)
RGB 0.29 1.4 0.32 28 2.0 1.2 (12)
RGB 0.2 1.6 0.32 26 1.9 0.87 (12)
RGB 0.23 1.6 0.32 26 2.0 0.91 (12)
RGB 0.23 1.6 0.32 31 1.6 0.93 (12)
RGB 0.25 1.6 0.32 26 2.0 0.96 (12)
RGB 0.18 1.8 0.32 16 1.9 0.43 (12)
RGB 0.2 1.8 0.32 16 1.9 0.48 (12)
RGB 0.22 1.8 0.32 16 2.0 0.53 (12)
RGB 0.35 1.0 0.28 22 1.3 1.8 (3)
RGB 0.45 1.0 0.28 18 1.3 2.4 (3)
